id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 409,월세,2000,80,O오룡역 도보6분거리에 위치한 신축 투룸 풀옵션 전월세가능O,4층,49.58,5,투룸,2,대전광역시 중구 용두동 138-4,36.3316332971271,127.401761444354,https://dabangapp.com/room/6461e29561e1b37d6d1fe7ed,https://d1774jszgerdmk.cloudfront.net/512/98996959-bfe2-4ed8-9994-5ad9a8561305,[]
대전광역시 410,월세,2000,45,화이트풀리모델링/첫입주/대형방2개/완전인기투룸,2층,62.81,1.7,투룸,2,대전광역시 서구 내동 26-7,36.3316633823587,127.372843265946,https://dabangapp.com/room/64b0f0a6828df75ba86049b8,https://d1774jszgerdmk.cloudfront.net/512/AiKfJQ2E1ah5bSVTMGRG8,[]
대전광역시 411,월세,2000,62,넓고 깨끗한 투룸 ㅡ 거실 베란다 즉시입주 에어컨,2층,56.19,3,투룸,2,대전광역시 서구 도안동 1091,36.3236901041708,127.347484416061,https://dabangapp.com/room/64a60ea668f0c052a1cca325,https://d1774jszgerdmk.cloudfront.net/512/muvWAydys-kNHo_SKA_Nu,[]
대전광역시 412,전세,13000,0,LH가능 건조기 세탁기 풀옵션 투룸 주차 18대 가능,2층,52.89,5,투룸,2,대전광역시 유성구 구암동 630-2,36.351025526924,127.328858128214,https://dabangapp.com/room/64b4d39d34991159e1b13228,https://d1774jszgerdmk.cloudfront.net/512/9566331e-a593-4ce4-bd0b-7e66f3185fc9,[]
대전광역시 413,전세,13000,0,"II선순위보장,선착순매물II신축첫입주,완전풀옵션,건조기,착한가격,호실선택",4층,59.5,2.5,투룸 ∙ 미등기건물,3,대전광역시 중구 유천동 207-24,36.3189368637523,127.397585580473,https://dabangapp.com/room/64a8e1032e0e6761e2faeb36,https://d1774jszgerdmk.cloudfront.net/512/d614d462-33ea-4784-bd2b-94a1974013ca,[]
대전광역시 414,월세,3000,69,30평형 주인세대 3룸 / 3층 독채/욕실2 /드레스룸 / 가격 조절 가,3층,99.17,1,쓰리룸 이상,3,대전광역시 대덕구 중리동 380-22,36.3636629566538,127.421606781235,https://dabangapp.com/room/64911c01f72587366a67921b,https://d1774jszgerdmk.cloudfront.net/512/k7-f4P1PZx_WyxMfYkESS,[]
대전광역시 415,월세,300,40,o복터o 싸다투룸 너무저렴하게 나온 가성비투룸,2층,52.89,2,투룸,2,대전광역시 동구 용전동 160-16,36.354450564768,127.431870687612,https://dabangapp.com/room/64b4ab77d94d033d469dd494,https://d1774jszgerdmk.cloudfront.net/512/d1997f92-d59c-4036-af7d-80ed62f69784,[]
대전광역시 416,전세,1,0,++추천++신축급의넓고 이쁜내부++금액조절가능++즉시입주가능++,중층,46.28,4,투룸,2,대전광역시 서구 가장동,36.330109894048,127.385188763848,https://dabangapp.com/room/647ea8c137ca3f433a379793,https://d1774jszgerdmk.cloudfront.net/512/rzA5XjiDbs32jTdzD-b-c,[]
대전광역시 417,월세,500,50,"허위x, 혼자살기 딱 좋은 원룸",중층,19.53,6,오피스텔,3,대전시 서구 탄방동 722,36.348247401302,127.38897903023,https://dabangapp.com/room/64ab6794a631136ce42a747a,https://d1774jszgerdmk.cloudfront.net/512/55922dba-08bf-4687-82ff-6c4c8b07d4bd,[]
대전광역시 418,월세,15000,40,"주차편하고,거실넓고 뷰좋은 도안동 신축형 쓰리룸전세",2층,79.33,5,쓰리룸 이상,3,대전광역시 서구 도안동 1001,36.3256805110601,127.344786998412,https://dabangapp.com/room/647a96b88d4b2633dd9f7def,https://d1774jszgerdmk.cloudfront.net/512/0mRSaJXRirC25lArPx2SL,[]
