id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 121,전세,9000,0,"융자적음 / 거실,방 넓음 / 착한전세가격 /엘베있음 / 즉시입주 /2룸",3층,54,3.5,투룸,2,대전광역시 서구 관저동 1876,36.3060546618499,127.335672083327,https://dabangapp.com/room/64a8cffc84db7b333b74b384,https://d1774jszgerdmk.cloudfront.net/512/e2997573-0390-4f64-88c6-32fbd8b17065,[]
대전광역시 122,전세,1,0,거실크고 테라스있고 5층단독사용 엘리베이터있음,5층,63.6,5,투룸,2,"대전광역시 대덕구 비래동 125-44, 1동",36.3545001006657,127.448800919985,https://dabangapp.com/room/649d09acdbfffe1a655d3b20,https://d1774jszgerdmk.cloudfront.net/512/57awFie6gul39uIpFokBB,[]
대전광역시 123,월세,2000,80,"죽동, 복층 쓰리룸+테라스,",4층,66.11,6,쓰리룸 이상,3,대전광역시 유성구 죽동 698-13,36.3701921994006,127.336739793106,https://dabangapp.com/room/64b21b2578876914bbefd264,https://d1774jszgerdmk.cloudfront.net/512/HmCVzj7r9uCim4GD1ouAG,[]
대전광역시 124,월세,1000,55,"채광좋은 , 조용한 주택가 , 가격좋은 가성비 투룸",3층,42,2,투룸,2,대전광역시 유성구 원신흥동 506-4,36.3389213546647,127.343909694356,https://dabangapp.com/room/64b23ba4f8a6756c31ec4210,https://d1774jszgerdmk.cloudfront.net/512/73a719f6-922e-4e2c-9b13-bce3595565a7,[]
대전광역시 125,월세,1000,70,"원신흥동, 거실 넓은 투룸, 전세 전환가능, LH가능, 채광좋은",2층,82.64,2.5,투룸,2,대전광역시 유성구 원신흥동 574-7,36.3336672808935,127.337660463494,https://dabangapp.com/room/649020b1d2440d132d045da8,https://d1774jszgerdmk.cloudfront.net/512/ebf7b925-2924-42bb-a154-cbe716fea4ed,[]
대전광역시 126,월세,1000,58,v플러스v 신축급 엘베 큰투룸 넓은베란다 바로앞하천길 이렇게좋을수가,2층,56.19,1.5,투룸,2,대전광역시 유성구 학하동 764-2,36.3396462506889,127.312958034324,https://dabangapp.com/room/64ae143fb67b0111aa309a52,https://d1774jszgerdmk.cloudfront.net/512/42541311-85f3-4b75-923f-17daa2b5cbd5,[]
대전광역시 127,월세,2000,60,"//더블YOU// 신축깔끔투룸, 중문엘베, 넓은구조, 화이트톤 인테리어",2층,62.81,4,투룸,2,대전광역시 유성구 원신흥동 548-2,36.3360045403813,127.339708863553,https://dabangapp.com/room/6492bbebadc8d16b38ee6205,https://d1774jszgerdmk.cloudfront.net/512/kBzinj10suXUAYThfyAh6,[]
대전광역시 128,전세,7500,0,LH가능/ 주차공간 여유 있음,4층,46.64,2,쓰리룸 이상,3,"대전광역시 유성구 구암동 620-18, 301동",36.3491445622721,127.331737756573,https://dabangapp.com/room/64ab9abb5d903b304a0961d2,https://d1774jszgerdmk.cloudfront.net/512/qetwgLA9NNzUJdlB4R5j7,[]
대전광역시 129,전세,25000,0,"태양열설치,커다란테라스2,넓은거실,아일렌드식탁,복용동 주인세대 전세",4층,119,4,쓰리룸 이상,3,대전광역시 유성구 복용동 615-8,36.3402154386775,127.315834155325,https://dabangapp.com/room/643783a01172f87b996aee20,https://d1774jszgerdmk.cloudfront.net/512/bac0a177-b2c0-498a-b4fb-6e65c9da9b56,[]
대전광역시 130,월세,2000,90,"복층형 3룸 급매물 가격조정합니다 애완가능, 전속매물입니다",4층,82.64,5,쓰리룸 이상,3,대전광역시 서구 도안동 1308,36.3204681894755,127.342870900736,https://dabangapp.com/room/649903cd091ffa151faedac4,https://d1774jszgerdmk.cloudfront.net/512/02217d2a-4294-4522-8bbb-a765e4544d7b,[]
대전광역시 131,전세,18000,0,LH가능+융자없는 안전전세+풀옵션 거실큰투룸+4가지구조+찜말구 전화주세요,고층,59.5,6,투룸,2,대전광역시 대덕구 덕암동 11-1,36.4440511386562,127.423979138622,https://dabangapp.com/room/64a7765452035a5242bb4fe0,https://d1774jszgerdmk.cloudfront.net/512/XvqMb0Ndwb97cmeXE2vvP,[]
대전광역시 132,전세,15000,0,"오룡역 풀옵 2룸 직장인 신혼부부 인기많은집 중기청,버팀목,보증보험가능",6층,37.72,5,투룸,2,대전광역시 중구 오류동 183-3,36.3273784707139,127.402513626777,https://dabangapp.com/room/64b243b220d25a7e605b4040,https://d1774jszgerdmk.cloudfront.net/512/tDJYkdcBvDDEwQ9oRSUSl,[]
대전광역시 133,월세,500,50,깔끔하고 깨끗한 옵션있는 투룸,2층,42.97,5,투룸,2,대전광역시 유성구 신성동 144-2,36.3900667132338,127.351663299977,https://dabangapp.com/room/64b4d6a98b0c895cd3b69a11,https://d1774jszgerdmk.cloudfront.net/512/WUoo7clmQXmHetWXPnFJs,[]
대전광역시 134,월세,2000,75,l청년l대전역 인근 첫입주 입니다. 월세 전세 반전세 가능 LH까지가능,10층,76.03,5,투룸,2,대전광역시 동구 중동 33-5,36.3320992567084,127.428471683321,https://dabangapp.com/room/6447925b858d907e9cb58d4b,https://d1774jszgerdmk.cloudfront.net/512/c749f2bc-ba86-46de-a331-bb0507b31a82,[]
대전광역시 135,월세,1000,60,리모델링 풀옵션투룸.출입구 중문.햇살가득.역세권.대박인기,2층,72.72,1.8,투룸,2,대전광역시 서구 용문동 279-15,36.3344761279035,127.390980343848,https://dabangapp.com/room/649a597d569989588649a2f4,https://d1774jszgerdmk.cloudfront.net/512/e105b858-02ff-40d3-8a82-e433ab81ed72,[]
대전광역시 136,전세,8000,0,20평정도의거실넓은 투룸 가격저렴,3층,59,3,투룸,2,대전광역시 대덕구 중리동 254-6,36.3574127554304,127.430586969223,https://dabangapp.com/room/64b0ab34e3900a585e47b187,https://d1774jszgerdmk.cloudfront.net/512/1d55f7b7-74e1-4e95-89c4-97b5bfc93c78,[]
대전광역시 137,월세,1000,50,거실큰투룸ll넓은주방ll주인세대ll애완,5층,59.5,2,투룸,2,대전광역시 서구 갈마동 330-2,36.3496034590223,127.365435855733,https://dabangapp.com/room/64af823eb79dd4301cd83c2b,https://d1774jszgerdmk.cloudfront.net/512/TrPUsnYkdMHH2y3tbD3NA,[]
대전광역시 138,월세,1000,60,괴정고 올리모델링 첫입주 가성비 쓰리룸,2층,58.19,0,쓰리룸 이상,3,대전광역시 서구 괴정동 119-35,36.3388580186283,127.37903269592,https://dabangapp.com/room/649f932db18ca627e1377b34,https://d1774jszgerdmk.cloudfront.net/512/f2cb6b40-267f-4c7a-a7a1-cafdabf870db,[]
대전광역시 139,전세,8500,0,+공인중개사직접상담+책임중개+LH 확실한매물+투룸+즉시입주++,3층,40,1.5,투룸,2,대전광역시 서구 내동 31-21,36.3347352305269,127.379428174066,https://dabangapp.com/room/6499711690e8827179755e2e,https://d1774jszgerdmk.cloudfront.net/512/d944e278-bb6a-4632-a7a4-2abb67028764,[]
대전광역시 140,월세,2000,65,신축 거실큰투룸++보증금 월세 조정가능++2가지구조+대형주방,3층,66.11,4,투룸,2,대전광역시 대덕구 덕암동 21-24,36.4439413718378,127.422481045947,https://dabangapp.com/room/647998964374ef6e4d449061,https://d1774jszgerdmk.cloudfront.net/512/I9jnWfdTA30zPubc8VqO6,[]
대전광역시 141,월세,2000,50,넓고 깨끗한 투룸 ㅡ 거실 베란다 즉시입주 에어컨,2층,52.89,3,투룸,2,대전광역시 서구 도안동 1100,36.3238917870684,127.346304832372,https://dabangapp.com/room/64a4bd82444b377d3e591833,https://d1774jszgerdmk.cloudfront.net/512/VeR43dDnrMqHKL80CN3WY,[]
대전광역시 142,전세,16000,0,지족동 쓰리룸 신축매물입니다/ 가격협의가능/ 옵션협의가능/ 안심전세매물,4층,76.03,3,쓰리룸 이상,3,대전광역시 유성구 지족동 1017-6,36.3863673502002,127.303795756305,https://dabangapp.com/room/642a7dcb1d9c3e1f13a99e39,https://d1774jszgerdmk.cloudfront.net/512/3be0b39a-079c-4099-af5e-42e395df4732,[]
대전광역시 143,월세,300,43,풀옵션투룸 통베란다 붙박이장 리모델링 대로변인접,1층,56.19,1.5,투룸,2,대전광역시 서구 갈마동 1372,36.3412453332936,127.377292981761,https://dabangapp.com/room/649fcd899bbc762c684de2dc,https://d1774jszgerdmk.cloudfront.net/512/e6bb1d91-0af2-4dad-9e4f-30cb15316fc4,[]
대전광역시 144,월세,2000,65,올리모델링된 신축급 거실넓은 투룸/첫입주투룸/갑천역및 교통편리 넓은 투룸,저층,49,3,투룸,2,대전광역시 서구 월평동 1099,36.3550502790258,127.359694718579,https://dabangapp.com/room/64b4df5a48ce801873f39bd9,https://d1774jszgerdmk.cloudfront.net/512/TlpZ1iZZr1kpZp1-yHDJw,[]
