id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 241,전세,14000,0,LH전세가능 투룸 신축 첫입주 편의시설 좋은위치,3층,42.97,5,투룸,2,대전광역시 중구 유천동 205-20,36.3196262677456,127.398072382868,https://dabangapp.com/room/64a29785ac195b3ec6d9dbe9,https://d1774jszgerdmk.cloudfront.net/512/b0b35b9d-8343-4230-af16-e279b92071c0,[]
대전광역시 242,월세,3000,130,"APT형신축첫입주,시스템에어컨,테라스",5층,32,4,쓰리룸 이상,3,대전광역시 동구 성남동,36.3445109239963,127.437486132961,https://dabangapp.com/room/64a8bd760d125601dde04558,https://d1774jszgerdmk.cloudfront.net/512/19z_mMA7m80KWG5IaIsbr,[]
대전광역시 243,월세,300,39,///초특가///반려동물///투룸///도배.장판.에어컨.청소///완벽진행,2층,56.19,1.8,투룸,2,대전광역시 동구 용전동 160-16,36.354450564768,127.431870687612,https://dabangapp.com/room/64b4f4c39d146f394a69440f,https://d1774jszgerdmk.cloudfront.net/512/Iiglliqc3Ttyfx1IrHqbJ,[]
대전광역시 244,월세,2500,70,쓰리룸 월세 신축1년차,3층,62.81,11,쓰리룸 이상,3,대전광역시 중구 문창동 24-3,36.3228820577383,127.4323156276,https://dabangapp.com/room/64b602a00645b506f1f6d828,https://d1774jszgerdmk.cloudfront.net/512/K5gxWfr3sWIEx8J8xy2xQ,[]
대전광역시 245,월세,2000,135,가격조절가능+화장실3+테라스3+주인세대+로망복층+신축+넓은거실+,4층,84,2.5,쓰리룸 이상,3,대전광역시 유성구 구암동 596-15,36.3521866815981,127.33457559221,https://dabangapp.com/room/6479a58ee77e183031057a84,https://d1774jszgerdmk.cloudfront.net/512/snRSpGIBhEqR3fSn-5OUu,[]
대전광역시 246,월세,500,50,넓은테라스 거실있는 풀옵션 투룸 방마다 에어컨,3층,42.97,6,투룸,2,대전광역시 동구 자양동,36.3354899505013,127.448725370359,https://dabangapp.com/room/64b4d8775c65857ba3d9385a,https://d1774jszgerdmk.cloudfront.net/512/oD2ITMrrwmaQE-GAru0OL,[]
대전광역시 247,월세,500,48,새단장으로 깨끗 추천 알뜰가격 풀 리모델링 풀옵션 투룸,2층,46.28,2,투룸,2,대전광역시 서구 월평동 1157,36.3549736512471,127.358354324559,https://dabangapp.com/room/64a8fb4055c2501a8428e6ff,https://d1774jszgerdmk.cloudfront.net/512/07bebdb5-0847-4ded-83d2-2f8d6df18bb1,[]
대전광역시 248,월세,500,40,++갓성비 쓰리룸+베란다2개+에어컨+큰방2 작은방1+엘베없음+반려동물가+,4층,44.55,0,쓰리룸 이상,3,대전광역시 동구 가양동 178-6,36.3409328694942,127.446679172615,https://dabangapp.com/room/64950d620f41b81c32ced0e2,https://d1774jszgerdmk.cloudfront.net/512/eDKF2pnWLWYmYKDIKUsUk,[]
대전광역시 249,전세,7500,0,20평 거실넓은 투룸 가격저렴LH가능,2층,59.5,1,투룸,2,대전광역시 대덕구 중리동 497-8,36.3638814184158,127.436261366378,https://dabangapp.com/room/6492a88a6cacf515a35af5bf,https://d1774jszgerdmk.cloudfront.net/512/9193649a-2b92-47e3-913c-b522509c963c,[]
대전광역시 250,월세,1000,53,"ll 투룸, 거실넓고 가성비좋은 깔끔방 ll",3층,59.5,1.5,투룸,2,대전광역시 유성구 학하동,36.3411495961537,127.308731204812,https://dabangapp.com/room/64b48ef09280fa365d8d4962,https://d1774jszgerdmk.cloudfront.net/512/9AtW7KSdZBkQ8VRTbvnvt,[]
대전광역시 251,월세,1000,40,O귀한대동투룸월세O넓은투룸O베란다O뷰맛집O대동역도보권O,4층,52,1.8,투룸,2,대전광역시 동구 대동 76-1,36.3305809948032,127.445492957958,https://dabangapp.com/room/6492a49226d19d6b407fef44,https://d1774jszgerdmk.cloudfront.net/512/JrDQyaB6Xj8l-qOQ1E4da,[]
대전광역시 252,월세,2000,60,많이 큼직한 2룸 거실넉넉,2층,55,6,투룸,2,대전광역시 대덕구 석봉동 307-28,36.4487190482782,127.423574202612,https://dabangapp.com/room/64abcdc127f2ee0d8f2634ac,https://d1774jszgerdmk.cloudfront.net/512/B3xLwoKn0BVYIiT0bLZA8,[]
대전광역시 253,전세,7000,0,++LH가능++ 넓은 테라스를 가진 투룸을 원룸가격에 버스정류장 1분,3층,48.8,1.5,투룸,2,대전광역시 중구 유천동 206-12,36.3191628944836,127.398176708555,https://dabangapp.com/room/649cead5e8ac4a403f19911d,https://d1774jszgerdmk.cloudfront.net/512/OIcyTOyV9ULgkjD0aU4gF,[]
대전광역시 254,월세,300,43,A급..리모델링 풀옵션투룸..대형붙박이장까지..둔산동도보가능,2층,56.19,1.7,투룸,2,대전광역시 서구 갈마동,36.3526615199213,127.367840159016,https://dabangapp.com/room/64ab63df0483b751618c5cc2,https://d1774jszgerdmk.cloudfront.net/512/905f7223-4f82-484c-a155-a3014f8e5014,[]
대전광역시 255,월세,500,45,///초특가투룸///1000에40가능///빠른선점///거실완벽///주차장,2층,59.5,2,투룸,2,대전광역시 중구 부사동 298-6,36.3114725164133,127.43206478444,https://dabangapp.com/room/64ab870eb04d8968ad39ad0d,https://d1774jszgerdmk.cloudfront.net/512/gZuKfZWuPKvuPeXd6QUvQ,[]
대전광역시 256,전세,8000,0,v리모델링 첫입주매물/투룸최저가/옵션협의가능/보증금조절가능한 귀한 매물,2층,49.58,2,투룸,2,대전광역시 동구 가양동 423-6,36.3498928013707,127.443797008265,https://dabangapp.com/room/6434f96532e52802d81befe9,https://d1774jszgerdmk.cloudfront.net/512/f0ed9755-430e-445d-a41b-cd2faac6d09e,[]
대전광역시 257,월세,2000,60,"도보5분거리 월평역,이마트 있는 살기좋은 2룸입니다",2층,52.89,5,투룸,2,대전광역시 서구 월평동 402,36.356931753857,127.35954427755,https://dabangapp.com/room/648feeddbd03201f7f249b79,https://d1774jszgerdmk.cloudfront.net/512/cb46df5b-7a6e-4394-aae5-54d6519053cc,[]
