id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 385,전세,13000,0,ll 신축 첫입주 집주인 거주 중기청 버팀목 카카오 뷰 맛집 ll,4층,52.89,4.2,투룸,2,대전광역시 서구 복수동 910,36.2967250841718,127.379935021624,https://dabangapp.com/room/646c7fa40e7af60ae6463484,https://d1774jszgerdmk.cloudfront.net/512/93b1541b-8369-45b5-b272-2637ca7d92ac,[]
대전광역시 386,월세,2000,40,쓰리룸 . 도배.장판 수리,2층,66.11,4,쓰리룸 이상,3,대전광역시 중구 대흥동 336-20,36.3194493156853,127.424920006461,https://dabangapp.com/room/64a605b4615cfe2a9ed479b7,https://d1774jszgerdmk.cloudfront.net/512/9212f874-28df-4990-b8e6-6dde217901bf,[]
대전광역시 387,월세,2000,70,w용문역w롯백w주차장큰집w인프라완비w큰집w,2층,66.11,2,투룸,2,대전광역시 서구 용문동 589-23,36.3392611583947,127.391129458144,https://dabangapp.com/room/649bda577c362c7421be60f1,https://d1774jszgerdmk.cloudfront.net/512/g4o-nsH_LXOwikfbKIlQ0,[]
대전광역시 388,월세,2000,40,꿀채광 관리상태최상 구조좋은 투룸,2층,69.42,1.5,투룸,2,대전광역시 중구 유천동 169-4,36.3145630181362,127.400922762253,https://dabangapp.com/room/64a64f646d7f1a43f0d86ab8,https://d1774jszgerdmk.cloudfront.net/512/491af802-8f3c-49f8-a0d7-8d5a4892393f,[]
대전광역시 389,전세,12000,0,저렴한 쓰리룸 즉시입주,2층,70,1.5,쓰리룸 이상,3,대전광역시 서구 도마동 101-8,36.3172183751335,127.376039095971,https://dabangapp.com/room/64afab565244e0580f4d7be3,https://d1774jszgerdmk.cloudfront.net/512/ec08b4c1-e082-4b76-9a8d-67f861ffefbb,[]
대전광역시 390,월세,300,30,리모델링 역대 최저가 투룸,반지층,42.38,1.5,투룸,2,대전광역시 유성구 상대동 438-24,36.347457739317,127.333679981636,https://dabangapp.com/room/64a76dd7c1762617d60e3b29,https://d1774jszgerdmk.cloudfront.net/512/19iA05tVTen8Vf9XHVLbg,[]
대전광역시 391,전세,9500,0,"둔원중학교, 괴정중학교 1분 투룸다량보유 23년도리모델",2층,56.19,2,투룸,2,대전광역시 서구 갈마동 1358,36.3413851751143,127.376728236887,https://dabangapp.com/room/64995e7ed9d80a46e042e848,https://d1774jszgerdmk.cloudfront.net/512/dabe6870-9450-4947-8d0b-479deaffe174,[]
대전광역시 392,월세,1000,80,l성공l 대주파크 인근 ㅡ단독주택+상가ㅡ 독채 단독 통사용,1층,82.37,0,투룸,2,대전광역시 동구 자양동 188-13,36.3424810825876,127.449252592055,https://dabangapp.com/room/64a539bc90d05a022b8e8c71,https://d1774jszgerdmk.cloudfront.net/512/0KbYy5aTXEhB9yud9j49p,[]
대전광역시 393,월세,400,37,풀옵션투룸 초역세권 밝은채광 대로변매물,3층,56.19,1.5,투룸,2,대전광역시 서구 월평동 1357,36.3537710034457,127.354041204041,https://dabangapp.com/room/64a3e5dfabda4c432891bf59,https://d1774jszgerdmk.cloudfront.net/512/feb8caa4-7ba5-415e-bfe3-b14f4840c296,[]
대전광역시 394,월세,500,40,++원룸가격에 방 큰 투룸+스탠드에어컨+세탁기++,2층,52.89,2,투룸,2,대전광역시 대덕구 송촌동 565-16,36.3569943407422,127.444079754091,https://dabangapp.com/room/64a533106e7c7e68457a8a36,https://d1774jszgerdmk.cloudfront.net/512/JNmNgP4BFC_9MBNoiXeaU,[]
대전광역시 395,월세,1000,60,풀옵션/100프로화이트/풀리모델링첫입주/에어컨2대,4층,56.19,4,투룸,2,대전광역시 서구 괴정동 80-2,36.3375116656673,127.385287580575,https://dabangapp.com/room/64b36862e90631312a4f1d06,https://d1774jszgerdmk.cloudfront.net/512/9e7c50d3-e375-4ebc-8c9b-4cfbe79aa6ed,[]
대전광역시 396,전세,15000,0,도안동 신축 투룸 전세 대출가능 일부옵션있음,2층,59.5,5,투룸,2,대전광역시 서구 도안동 1437,36.3139750190849,127.350692769924,https://dabangapp.com/room/64a917a8a1ad82602ce12d96,https://d1774jszgerdmk.cloudfront.net/512/pEH-DgFnperq_Xlxdd2Bu,[]
대전광역시 397,전세,9000,0,"미친매물/중기청,버팀목,카카오가능/ 첫입주투룸/ 실물갑",3층,49.58,1.5,투룸,2,대전광역시 유성구 학하동 754-5,36.3373550450277,127.310142071946,https://dabangapp.com/room/64a2858ac096fc01f9181f57,https://d1774jszgerdmk.cloudfront.net/512/P3ugI9RoxCsd2afUq3vGG,[]
대전광역시 398,전세,15000,0,초특급매물/ 넓은거실/ 반전세가능,3층,49.58,1.5,투룸,2,대전광역시 유성구 구암동 589-5,36.354912971062,127.331744851214,https://dabangapp.com/room/64a24ec674784f0552ead995,https://d1774jszgerdmk.cloudfront.net/512/j_r8QTEEkjO_xQkq5nuwT,[]
대전광역시 399,월세,500,40,ㅁ용문역인근ㅁ가성비최고ㅁ놓치지마세요ㅁ,1층,46.28,1.5,투룸,2,대전광역시 서구 용문동 272-6,36.3360593994433,127.388134509481,https://dabangapp.com/room/64a680165a994e0acd189d8a,https://d1774jszgerdmk.cloudfront.net/512/MecFwQLRhv4o5R_7Kj9My,[]
대전광역시 400,전세,8000,0,탄방동 올리모델링/융자 없는 안전한 전세/,4층,44.88,0,쓰리룸 이상,3,"대전광역시 서구 탄방동 66-40, 나동",36.3434974496929,127.39366869605,https://dabangapp.com/room/64b6129a1229cc2b2b0a399a,https://d1774jszgerdmk.cloudfront.net/512/eOWdFI6fnD1lZv-cfMZRM,[]
대전광역시 401,월세,5000,50,+흥도공원 조용한 주택가 투룸 / 화이트톤 깔끔한 인테리어 목원대 인근,고층,39.66,4.5,투룸,2,대전광역시 유성구 원신흥동 553-16,36.334338013738,127.33947886592,https://dabangapp.com/room/64a8f840c0877f17870baf23,https://d1774jszgerdmk.cloudfront.net/512/fAxs-IJRkobncKG-GXT3g,[]
대전광역시 402,월세,2000,120,"힐링되는전망,다양한 옵션, 살기좋은 4베이구조,첫입주",28층,84.97,15,오피스텔,3,"대전시 유성구 용계동 677-1, 101동",36.3316596970152,127.332203346365,https://dabangapp.com/room/649d9c023ad5567fd5a55353,https://d1774jszgerdmk.cloudfront.net/512/kFwIUyNBEAKqdkTlOe6hQ,[]
대전광역시 403,월세,2500,60,쓰리룸/착한가격+대형거실+넓은방/알뜰쓰리룸,3층,89.25,2,쓰리룸 이상,3,대전광역시 서구 괴정동 129-6,36.3390900889214,127.375859945796,https://dabangapp.com/room/64afb308a340f978a9a449aa,https://d1774jszgerdmk.cloudfront.net/512/bb9d5a02-40e8-420f-9836-fae474d5a9c6,[]
대전광역시 404,월세,2800,45,++ 초신축건물// 인테리어 깨끗// 아파트형구조// 생활권 최상위치,2층,38.03,0,투룸,2,대전광역시 유성구 교촌동 632-18,36.3030278280603,127.315189144326,https://dabangapp.com/room/647da1a1aaf76f61bbcf3e4f,https://d1774jszgerdmk.cloudfront.net/512/GuqvlairQ3FA4kMVKecnQ,[]
대전광역시 405,월세,300,50,v실매물v애완동물가능v 보안완벽v 오피스텔v 가성비갑v,6층,26.31,6.5,도시형,3,대전시 서구 괴정동 52-11,36.3372332573623,127.386303375364,https://dabangapp.com/room/648fce65c8a1e276f82de5c9,https://d1774jszgerdmk.cloudfront.net/512/d0bc42f8-49a9-47ee-afd9-052e0df617ce,[]
대전광역시 406,월세,1,25,//LH가능한 안전하고 관리잘된 투룸//보증금 조절 가능,3층,62,4,투룸,2,대전광역시 서구 탄방동 1479-1,36.3463450633273,127.400559945496,https://dabangapp.com/room/64b612dd72abf42b6b647aca,https://d1774jszgerdmk.cloudfront.net/512/rKsoEX7AyejwsbShxa0Ff,[]
대전광역시 407,전세,8000,0,"LH가능,애완가능,정남향,도배장판예정,싱크대화장실교체,융자적은,안전매물",1층,59.5,2,투룸,2,대전광역시 서구 갈마동,36.3526615199213,127.367840159016,https://dabangapp.com/room/6491416bcfa2f266a1bf9e38,https://d1774jszgerdmk.cloudfront.net/512/HEhKWD15TE5onf0IVUNd2,[]
대전광역시 408,월세,3000,75,"가격착한 핫한 3룸, 신축급컨디션",4층,59.5,5,쓰리룸 이상,3,대전광역시 유성구 학하동 760-6,36.3353128443955,127.309008903378,https://dabangapp.com/room/648020568b555c64bc86e05b,https://d1774jszgerdmk.cloudfront.net/512/QKoRRBkEkIEAf8N70Znal,[]
