id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 유성구 궁동 1,월세,2000,60,+충대정문 리모델링 투룸 / 충대 도보 통학가능 화이트톤 풀옵션,고층,36.36,5,투룸,2,대전광역시 유성구 궁동 468-12,36.3595407034176,127.341432121875,https://www.dabangapp.com/room/64b0eacab14a774260b31fb7,https://d1774jszgerdmk.cloudfront.net/512/mSFPsa-e9qZlbjsUSJhEe,[]
대전광역시 유성구 궁동 2,월세,500,35,oO 레자미1차ㅣ충대정문ㅣ오픈형풀옵ㅣ큰방찾으면...클릭 Oo,2층,13.27,4,도시형,3,대전시 유성구 궁동 490-4,36.3607826894393,127.34566777313,https://www.dabangapp.com/room/64aceabd23841d5a5c909114,https://d1774jszgerdmk.cloudfront.net/512/9925c9fc-a03c-44d1-8860-ea1160eec197,[]
대전광역시 유성구 궁동 3,월세,200,20,풀옵션투룸 단독테라스 남향 최저가 역세권매물,옥탑,66,1.5,투룸,2,대전광역시 서구 월평동 789,36.355420906278,127.366406472726,https://www.dabangapp.com/room/64916678b73ff820ca341dea,https://d1774jszgerdmk.cloudfront.net/512/70849150-a7f5-4428-8305-279369adf1f6,[]
