id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 361,월세,7000,35,복수동 쓰리룸 월세입니다. 현재 비어있어서 아무때나 입주가능합니다.,4층,85,2,쓰리룸 이상,3,대전광역시 서구 복수동 851,36.2975331143848,127.378505030956,https://dabangapp.com/room/64acf9d000f82b2a1ae69a31,https://d1774jszgerdmk.cloudfront.net/512/ooDqar1Yv2F5KAUdB044V,[]
대전광역시 362,월세,2000,70,충남대서문 죽동초 인접 엘베유 구조깔끔 방넓은 정투룸 월세,3층,60,6,투룸,2,대전광역시 유성구 죽동 694-3,36.3705127719348,127.336826754725,https://dabangapp.com/room/646c327f393ef7766e9a54c6,https://d1774jszgerdmk.cloudfront.net/512/G9vlH1_Lm0hx0SV5yUTZH,[]
대전광역시 363,월세,500,45,ll반려동물환영ll햇살좋은 마당있고 거실과 방이 큰 남향집,1층,59,3,투룸,2,대전광역시 동구 가양동 162-8,36.3476120498227,127.45086738999,https://dabangapp.com/room/64957736027dcf62ceba7d7b,https://d1774jszgerdmk.cloudfront.net/512/S1We8vHYILpT7QGjtbUgR,[]
대전광역시 364,월세,1000,50,bb++ 옵션 많고 가성비 좋은 투룸입니다++bb,3층,49.58,1.5,투룸,2,대전광역시 서구 도안동 1680,36.3076211117909,127.35174756997,https://dabangapp.com/room/64a8e590e649016371b36318,https://d1774jszgerdmk.cloudfront.net/512/0295d4c5-7d56-4b12-bc95-ed9a47a0c853,[]
대전광역시 365,월세,1500,65,보증금 조절 가능 신축 투룸 첫입주 풀옵션 막힘없는 뷰,3층,49.5,5.4,투룸,2,대전광역시 유성구 복용동 577-4,36.3441090754758,127.312196126858,https://dabangapp.com/room/64b1f3a37881292ad56d98ef,https://d1774jszgerdmk.cloudfront.net/512/289b8d33-bde3-4ddb-a3b9-5de0c7dd91e0,[]
대전광역시 366,월세,2000,60,노은역 O 도보 3분거리 O 리모델링 O 풀옵션 O 거실 큰 투룸 O,2층,59.5,2,투룸,2,대전광역시 유성구 지족동 892-3,36.37340890986,127.316204866126,https://dabangapp.com/room/64b2064bb9c3435e44f64dc7,https://d1774jszgerdmk.cloudfront.net/512/39d30f58-e9f7-4cc0-b68b-5ea88168447f,[]
대전광역시 367,월세,500,55,"+ㅇ+복합터미널, 이마트, 대전IC 5분거리 신축급 1.5룸+ㅇ+",4층,42.97,2,투룸,2,대전광역시 동구 용전동 128-58,36.3518705727872,127.433395725999,https://dabangapp.com/room/64982118dec1f451d2a8e902,https://d1774jszgerdmk.cloudfront.net/512/60d24b42-7e59-4180-b705-e45a3dbf2e9f,[]
대전광역시 368,월세,3000,70,용전동 투룸 신축 엘베 깔끔 주차공간 이마트 터미널 아이씨 다 가까운투룸,4층,56.19,6.5,투룸,2,대전광역시 동구 용전동 139-22,36.3502729831827,127.432796211516,https://dabangapp.com/room/649a7757c2824553b2560c9f,https://d1774jszgerdmk.cloudfront.net/512/DDW2xQppyxJgNZFk0PBWr,[]
대전광역시 369,전세,11000,0,/LH가능/ 태평동 신축 첫입주 거실큰 투룸,3층,55,3.5,투룸 ∙ 미등기건물,3,"대전광역시 중구 태평동 255-91, 1동",36.3281455298524,127.400266413964,https://dabangapp.com/room/64a91e66ed84876f44170e84,https://d1774jszgerdmk.cloudfront.net/512/SkaR2ZYSEbAtdgP2hTdwp,[]
대전광역시 370,월세,1000,60,넓고 깨끗한 1.5룸 ㅡ 거실 베란다 즉시입주 에어컨,3층,79.33,3,투룸,2,대전광역시 서구 도안동 1671,36.308072953863,127.351260801685,https://dabangapp.com/room/64b5dbd6f238435b2fdbae92,https://d1774jszgerdmk.cloudfront.net/512/d512ac59-83e8-4025-90f2-14105a60f1c5,[]
대전광역시 371,월세,1000,50,"++ 마치광장 인근// 방 넓고 도배,싱크대 교체// 생활권 최상위치",2층,46.28,3,투룸,2,대전광역시 서구 관저동 1050,36.2997444107574,127.336115641942,https://dabangapp.com/room/6461ba3defaa0f1ca54df275,https://d1774jszgerdmk.cloudfront.net/512/f6f3e052-b5e0-479d-a4b7-9028ccf512f1,[]
대전광역시 372,월세,1000,75,"첫입주, 거실큰 투룸++보증금, 월세조정가능+2.3.4층 선택가능",2층,59.5,3,투룸,2,대전광역시 서구 용문동 263-6,36.3354852365603,127.390768859526,https://dabangapp.com/room/649d0b524691e835d539eba6,https://d1774jszgerdmk.cloudfront.net/512/Cg2wRI5m1fpAmkLgtVadA,[]
대전광역시 373,월세,500,50,부사동 / 가성비 좋은 / 깨끗한투룸 / 선착순,2층,52,2,투룸,2,대전광역시 중구 부사동 298-6,36.3114725164133,127.43206478444,https://dabangapp.com/room/64ae05a6930fd05bb01b67fe,https://d1774jszgerdmk.cloudfront.net/512/u4CKhte6UwYW5j4c0KQIq,[]
대전광역시 374,월세,1000,55,bb 반려묘 가능한 역세권 투룸입니다+주차공간도 여유로워요bb,2층,49.58,2,투룸,2,대전광역시 유성구 구암동 597-16,36.3528369964061,127.333470096059,https://dabangapp.com/room/64ae61b7cb6ea73d230bc53b,https://d1774jszgerdmk.cloudfront.net/512/zswuc7XOb-dWeSwWtSJhW,[]
대전광역시 375,전세,1500,0,유성온천역 도보 8분거리 풀옵션 귀한 1.5룸 전세매물,저층,29.5,8,오피스텔,3,대전시 유성구 봉명동 540-8,36.3552187451977,127.349909749734,https://dabangapp.com/room/6495571a81b2066148958cf9,https://d1774jszgerdmk.cloudfront.net/512/Hv_UH7--RyThkpxsVZQJ8,[]
대전광역시 376,월세,2000,85,+신축풀옵션투룸입니다.몸만오시면되세요.엘레베이터도 있습니다보증금 조절가능,4층,56.19,5,투룸,2,대전광역시 서구 월평동 675,36.3559518390258,127.367006572537,https://dabangapp.com/room/64a640fb63b11c07db67d0f3,https://d1774jszgerdmk.cloudfront.net/512/30c8a0d4-fcd7-4f54-a1e2-5d50571fef58,[]
대전광역시 377,전세,1,0,"월평동 투룸, 융자없는, LH가능, 건조기 풀옵션, 채광좋음",2층,49.58,2.5,투룸,2,대전광역시 서구 월평동 1254,36.354206814283,127.356797432952,https://dabangapp.com/room/64902101284b3f13c3b0fa81,https://d1774jszgerdmk.cloudfront.net/512/4afa4b66-7d8b-4d45-8168-6ab64a5d0a29,[]
대전광역시 378,월세,1000,60,//잘 나온 구조//잘 나온 가격//위치좋은 도로가에 풀옵션투룸//,2층,52.89,3.5,투룸,2,대전광역시 서구 괴정동 87-19,36.3356448172422,127.382190974174,https://dabangapp.com/room/648c7ddd89d175552261b02e,https://d1774jszgerdmk.cloudfront.net/512/e145d684-57f3-4768-8099-3af4ced0abe1,[]
대전광역시 379,전세,15000,0,ME D ME 첫입주 귀한 투룸 너무이쁘다,3층,59.5,1.2,투룸,2,대전광역시 중구 선화동 185-9,36.3298448424253,127.418639148762,https://dabangapp.com/room/64b4dbfb13237a7b8f098c64,https://d1774jszgerdmk.cloudfront.net/512/6d1a373a-9733-4ff7-916b-c9581c0171b4,[]
대전광역시 380,월세,300,45,풀옵션투룸 밝은채광 리모델링 대로변인접 역세권매물,4층,56.19,1.5,투룸,2,대전광역시 서구 갈마동 266-85,36.3539336594066,127.371468261907,https://dabangapp.com/room/64b4f161d291a85378e2088e,https://d1774jszgerdmk.cloudfront.net/512/f3e89682-2f2b-40b0-99e7-a575b8613975-2,[]
대전광역시 381,월세,200,35,"++풀옵션 투룸, 화이트 특 가성비 ++",2층,42,3,투룸,2,대전광역시 서구 월평동 392,36.3565048276109,127.359437697867,https://dabangapp.com/room/64940928319ff676da7a905e,https://d1774jszgerdmk.cloudfront.net/512/wL52ItiTNMCIiUzyDVsNq,[]
