id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 1,전세,12000,0,"LH가능, 백운초, 괴정중고, 인근 준신축 거실큰 투룸 전세",3층,60,4,투룸,2,대전광역시 서구 괴정동,36.3371418821154,127.382068970091,https://dabangapp.com/room/649f90416050b7180256e67d,https://d1774jszgerdmk.cloudfront.net/512/3e1e8d0b-ffb2-4f1a-9534-031004319e33,[]
대전광역시 2,전세,7500,0,"ll 비래동 쓰리룸 빌라 전세 ll 욕실리모델링, 도배완료 ll",4층,51.8,0.5,쓰리룸 이상,3,"대전광역시 대덕구 비래동 144-3, 가동",36.3555269668325,127.452747518295,https://dabangapp.com/room/64b4b03ff605245e57613645,https://d1774jszgerdmk.cloudfront.net/512/034ed1f5-5c79-4ff2-ba9a-4ed5e41fb5e1,[]
대전광역시 3,월세,300,45,O구해줘Oㅡ허위매물에속지마세요ㅡ보증금조절및월세조정가능ㅡ친절상담O책임중개ㅡ,14층,21.24,4,오피스텔,3,대전시 유성구 봉명동 447-6,36.3537935820091,127.339998261441,https://dabangapp.com/room/64b49e1972c6af0f2493ce2b,https://d1774jszgerdmk.cloudfront.net/512/9d40d86c-0708-4d3f-be70-f0f326702689,[]
대전광역시 4,월세,5000,60,"괴정동 신축 첫입주 풀옵션투룸,건조기,주차 11대 가능합니다.",5층,52.89,4,투룸 ∙ 미등기건물,3,대전광역시 서구 괴정동 86-9,36.3375534204264,127.383063422657,https://dabangapp.com/room/64967fbdd9a87a55286cb0e8,https://d1774jszgerdmk.cloudfront.net/512/yENFwKaaE3zgtGXGgtk4B,[]
대전광역시 5,월세,500,47,역세권 저렴한 투룸,4층,49,2,투룸,2,대전광역시 서구 탄방동 91-13,36.341791880572,127.391089869992,https://dabangapp.com/room/64994e9ca8552a680259d413,https://d1774jszgerdmk.cloudfront.net/512/njFZTo7ZQyA6lBsfSgz0u,[]
대전광역시 6,월세,1000,55,반려동물협의가능.엘베.보증금조절가능.넓은주차장.밝은채광.훌륭한개방감,4층,52.89,2.5,투룸,2,대전광역시 서구 용문동 275-10,36.3358827432484,127.389056996981,https://dabangapp.com/room/6499656992ee255a992e4c5c,https://d1774jszgerdmk.cloudfront.net/512/8408f9fe-c966-4bb8-a467-19806393a226,[]
대전광역시 7,월세,500,60,시티팰리스 월세매물 입니다 가격조절 가능,7층,30,3,도시형,3,대전시 서구 갈마동 338-1,36.3494899308989,127.36862744733,https://dabangapp.com/room/64a63895d94d2072348af5a1,https://d1774jszgerdmk.cloudfront.net/512/3dcb9d56-c5dd-4ef1-bdea-df1e2f2045ed,[]
대전광역시 8,전세,15000,0,"거실 방 넓은 신축급 투룸, 엄청 넓어요",2층,45.5,5,투룸,2,대전광역시 유성구 원신흥동 565-8,36.3352566657327,127.336486671961,https://dabangapp.com/room/64a2740e9e6dfb1f4e624c57,https://d1774jszgerdmk.cloudfront.net/512/dN2cGxoO1MfFa3E42nZXG,[]
대전광역시 9,월세,2000,60,//더블YOU//최저가선점필수 중문전실 화이트톤 빠른연락필수,2층,56.1,4,투룸,2,대전광역시 유성구 원신흥동 548-2,36.3360045403813,127.339708863553,https://dabangapp.com/room/648c4551ff46353acbdfc87e,https://d1774jszgerdmk.cloudfront.net/512/Eg-EAfWkKUQ39Tsd2sfGD,[]
대전광역시 10,월세,1000,55,DD가성비짱/거실넓은투룸/대로변인근DD,4층,52.8,3,투룸,2,대전광역시 동구 용전동 39-8,36.3572303394281,127.43196536995,https://dabangapp.com/room/64af9fd4ee3a203ce854cf78,https://d1774jszgerdmk.cloudfront.net/512/iYV0FiwWxf2E4Kh-_6qe_,[]
